|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     21.6      |     91.2      |   34.9   |
|    6     |     82.6      |     55.9      |   66.7   |
|    7     |     100.0     |     56.8      |   72.4   |
|    8     |     85.7      |     64.9      |   73.8   |
|    1     |     100.0     |     54.3      |   70.4   |
|    9     |     100.0     |     80.9      |   89.4   |
|    10    |     100.0     |     41.0      |   58.2   |
|    11    |     94.1      |     82.1      |   87.7   |
|    12    |     100.0     |     33.3      |   50.0   |
|    0     |     100.0     |     23.3      |   37.8   |
|    13    |     97.3      |     63.2      |   76.6   |
|    15    |     76.3      |     35.4      |   48.3   |
|    3     |     75.0      |     100.0     |   85.7   |
|    4     |     100.0     |      2.8      |   5.4    |
|    5     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    14    |      0.0      |      0.0      |   0.0    |


Avg F1@0.000: 50.4

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     13.9      |     87.0      |   24.0   |
|    6     |     82.6      |     55.9      |   66.7   |
|    7     |     100.0     |     56.8      |   72.4   |
|    8     |     85.7      |     64.9      |   73.8   |
|    1     |     94.7      |     47.4      |   63.2   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     100.0     |     41.0      |   58.2   |
|    11    |     94.1      |     82.1      |   87.7   |
|    12    |     100.0     |     33.3      |   50.0   |
|    0     |     93.6      |     20.2      |   33.3   |
|    13    |     97.3      |     63.2      |   76.6   |
|    15    |     73.7      |     34.1      |   46.7   |
|    3     |     75.0      |     100.0     |   85.7   |
|    4     |     100.0     |      2.8      |   5.4    |
|    5     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    14    |      0.0      |      0.0      |   0.0    |


Avg F1@0.010: 48.7

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     11.1      |     69.6      |   19.2   |
|    6     |     78.3      |     52.9      |   63.2   |
|    7     |     85.7      |     48.6      |   62.1   |
|    8     |     75.0      |     56.8      |   64.6   |
|    1     |     84.2      |     42.1      |   56.1   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     75.0      |     30.8      |   43.6   |
|    11    |     85.3      |     74.4      |   79.5   |
|    12    |     75.0      |     25.0      |   37.5   |
|    0     |     87.2      |     18.9      |   31.0   |
|    13    |     94.6      |     61.4      |   74.5   |
|    15    |     73.7      |     34.1      |   46.7   |
|    3     |     75.0      |     100.0     |   85.7   |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    14    |      0.0      |      0.0      |   0.0    |


Avg F1@0.100: 44.0

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      6.0      |     37.7      |   10.4   |
|    6     |     60.9      |     41.2      |   49.1   |
|    7     |     81.0      |     45.9      |   58.6   |
|    8     |     57.1      |     43.2      |   49.2   |
|    1     |     73.7      |     36.8      |   49.1   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     68.8      |     28.2      |   40.0   |
|    11    |     79.4      |     69.2      |   74.0   |
|    12    |     41.7      |     13.9      |   20.8   |
|    0     |     75.5      |     16.3      |   26.8   |
|    13    |     89.2      |     57.9      |   70.2   |
|    15    |     71.1      |     32.9      |   45.0   |
|    3     |     71.9      |     95.8      |   82.1   |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    14    |      0.0      |      0.0      |   0.0    |


Avg F1@0.250: 38.8

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      3.0      |     18.8      |   5.2    |
|    6     |     17.4      |     11.8      |   14.0   |
|    7     |     42.9      |     24.3      |   31.0   |
|    8     |     17.9      |     13.5      |   15.4   |
|    1     |     26.3      |     13.2      |   17.5   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     25.0      |     10.3      |   14.5   |
|    11    |     61.8      |     53.8      |   57.5   |
|    12    |     33.3      |     11.1      |   16.7   |
|    0     |     56.4      |     12.2      |   20.0   |
|    13    |     81.1      |     52.6      |   63.8   |
|    15    |     44.7      |     20.7      |   28.3   |
|    3     |     56.2      |     75.0      |   64.3   |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    14    |      0.0      |      0.0      |   0.0    |


Avg F1@0.500: 25.4



|Edit:44.1|Acc:38.0|
