|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     87.2      |     56.5      |   68.5   |
|    6     |     82.9      |     85.3      |   84.1   |
|    -1    |      7.2      |     65.7      |   12.9   |
|    7     |     88.6      |     83.8      |   86.1   |
|    8     |     89.2      |     89.2      |   89.2   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     100.0     |     94.6      |   97.2   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.7      |     84.6      |   88.0   |
|    12    |     88.9      |     88.9      |   88.9   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     83.3      |     85.7      |   84.5   |
|    15    |     79.4      |     32.9      |   46.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.000: 78.1

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     86.8      |     56.1      |   68.2   |
|    6     |     82.9      |     85.3      |   84.1   |
|    -1    |      5.3      |     49.3      |   9.6    |
|    7     |     88.6      |     83.8      |   86.1   |
|    8     |     89.2      |     89.2      |   89.2   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     100.0     |     94.6      |   97.2   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.7      |     84.6      |   88.0   |
|    12    |     88.9      |     88.9      |   88.9   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     83.3      |     85.7      |   84.5   |
|    15    |     79.4      |     32.9      |   46.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.010: 77.8

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     84.7      |     54.7      |   66.5   |
|    6     |     82.9      |     85.3      |   84.1   |
|    -1    |      2.2      |     20.3      |   3.9    |
|    7     |     85.7      |     81.1      |   83.3   |
|    8     |     89.2      |     89.2      |   89.2   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     100.0     |     94.6      |   97.2   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.7      |     84.6      |   88.0   |
|    12    |     88.9      |     88.9      |   88.9   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     83.3      |     85.7      |   84.5   |
|    15    |     79.4      |     32.9      |   46.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.100: 77.2

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     75.1      |     48.5      |   58.9   |
|    6     |     82.9      |     85.3      |   84.1   |
|    -1    |      0.9      |      8.7      |   1.7    |
|    7     |     82.9      |     78.4      |   80.6   |
|    8     |     83.8      |     83.8      |   83.8   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     100.0     |     94.6      |   97.2   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.7      |     84.6      |   88.0   |
|    12    |     88.9      |     88.9      |   88.9   |
|    13    |     91.9      |     59.6      |   72.3   |
|    14    |     80.6      |     82.9      |   81.7   |
|    15    |     64.7      |     26.8      |   37.9   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.250: 75.3

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     55.5      |     35.9      |   43.6   |
|    6     |     80.0      |     82.4      |   81.2   |
|    -1    |      0.5      |      4.3      |   0.8    |
|    7     |     68.6      |     64.9      |   66.7   |
|    8     |     70.3      |     70.3      |   70.3   |
|    5     |     56.5      |     34.2      |   42.6   |
|    1     |     89.2      |     86.8      |   88.0   |
|    2     |     97.1      |     91.9      |   94.4   |
|    9     |     86.8      |     76.7      |   81.5   |
|    10    |     86.5      |     82.1      |   84.2   |
|    11    |     86.1      |     79.5      |   82.7   |
|    12    |     83.3      |     83.3      |   83.3   |
|    13    |     78.4      |     50.9      |   61.7   |
|    14    |     55.6      |     57.1      |   56.3   |
|    15    |     29.4      |     12.2      |   17.2   |
|    3     |     61.1      |     91.7      |   73.3   |
|    4     |     82.9      |     80.6      |   81.7   |


Avg F1@0.500: 65.3



|Edit:73.7|Acc:64.9|
