|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     13.1      |     90.7      |   22.9   |
|    1     |     90.6      |     100.0     |   95.1   |
|    0     |     92.3      |     69.9      |   79.5   |
|    4     |     100.0     |     97.1      |   98.6   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     76.0      |   86.4   |
|    3     |     63.6      |     77.8      |   70.0   |
|    8     |     71.0      |     81.5      |   75.9   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |
|    15    |     82.1      |     100.0     |   90.2   |


Avg F1@0.000: 87.8

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     10.9      |     88.0      |   19.4   |
|    1     |     84.4      |     100.0     |   91.5   |
|    0     |     93.9      |     68.1      |   78.9   |
|    4     |     100.0     |     97.1      |   98.6   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     73.1      |   84.4   |
|    3     |     63.6      |     77.8      |   70.0   |
|    8     |     71.0      |     81.5      |   75.9   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |
|    15    |     82.1      |     100.0     |   90.2   |


Avg F1@0.010: 87.2

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |      7.6      |     61.4      |   13.5   |
|    1     |     84.4      |     100.0     |   91.5   |
|    0     |     92.0      |     66.7      |   77.3   |
|    4     |     100.0     |     97.1      |   98.6   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     73.1      |   84.4   |
|    3     |     63.6      |     77.8      |   70.0   |
|    8     |     71.0      |     81.5      |   75.9   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |
|    15    |     82.1      |     100.0     |   90.2   |


Avg F1@0.100: 86.8

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      7.2      |     57.8      |   12.7   |
|    1     |     84.4      |     100.0     |   91.5   |
|    0     |     84.7      |     61.4      |   71.2   |
|    4     |     100.0     |     97.1      |   98.6   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     73.1      |   84.4   |
|    3     |     63.6      |     77.8      |   70.0   |
|    8     |     71.0      |     81.5      |   75.9   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |
|    15    |     82.1      |     100.0     |   90.2   |


Avg F1@0.250: 86.2

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      5.4      |     43.4      |   9.5    |
|    1     |     84.4      |     100.0     |   91.5   |
|    0     |     68.2      |     49.4      |   57.3   |
|    4     |     97.1      |     94.3      |   95.7   |
|    5     |     91.4      |     91.4      |   91.4   |
|    6     |     94.3      |     94.3      |   94.3   |
|    7     |     94.3      |     94.3      |   94.3   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     97.0      |     91.4      |   94.1   |
|    11    |     95.7      |     95.7      |   95.7   |
|    2     |     100.0     |     73.1      |   84.4   |
|    3     |     59.1      |     72.2      |   65.0   |
|    8     |     67.7      |     77.8      |   72.4   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |
|    15    |     82.1      |     100.0     |   90.2   |


Avg F1@0.500: 82.9



|Edit:88.2|Acc:78.3|
