|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     12.8      |     86.3      |   22.3   |
|    1     |     82.9      |     100.0     |   90.6   |
|    0     |     90.6      |     72.8      |   80.8   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     68.0      |     94.4      |   79.1   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     60.0      |     100.0     |   75.0   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.000: 88.6

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     10.6      |     81.9      |   18.8   |
|    1     |     77.1      |     100.0     |   87.1   |
|    0     |     92.1      |     71.1      |   80.3   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     68.0      |     94.4      |   79.1   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     60.0      |     100.0     |   75.0   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.010: 88.1

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |      7.8      |     60.2      |   13.8   |
|    1     |     77.1      |     100.0     |   87.1   |
|    0     |     90.6      |     70.0      |   79.0   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     68.0      |     94.4      |   79.1   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     60.0      |     100.0     |   75.0   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.100: 87.8

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      7.2      |     55.4      |   12.7   |
|    1     |     77.1      |     100.0     |   87.1   |
|    0     |     82.7      |     63.9      |   72.1   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     68.0      |     94.4      |   79.1   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     60.0      |     100.0     |   75.0   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.250: 87.1

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      6.2      |     48.2      |   11.0   |
|    1     |     77.1      |     100.0     |   87.1   |
|    0     |     63.7      |     49.2      |   55.5   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     60.0      |     83.3      |   69.8   |
|    4     |     94.3      |     94.3      |   94.3   |
|    5     |     97.1      |     97.1      |   97.1   |
|    6     |     94.3      |     94.3      |   94.3   |
|    7     |     97.1      |     97.1      |   97.1   |
|    8     |     71.4      |     92.6      |   80.6   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     60.0      |     100.0     |   75.0   |
|    10    |     97.1      |     97.1      |   97.1   |
|    11    |     67.9      |     82.6      |   74.5   |
|    12    |     92.6      |     92.6      |   92.6   |
|    13    |     89.3      |     92.6      |   90.9   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.500: 82.3



|Edit:89.3|Acc:79.7|
