|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     13.2      |     92.6      |   23.1   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     90.3      |     75.0      |   81.9   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     69.2      |     100.0     |   81.8   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     57.7      |     100.0     |   73.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.000: 88.7

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     11.2      |     90.4      |   20.0   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     91.3      |     73.3      |   81.4   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     69.2      |     100.0     |   81.8   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     57.7      |     100.0     |   73.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.010: 88.5

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |      8.2      |     66.3      |   14.6   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     90.0      |     72.2      |   80.1   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     69.2      |     100.0     |   81.8   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     57.7      |     100.0     |   73.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.100: 88.1

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      7.2      |     57.8      |   12.8   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     84.1      |     67.5      |   74.9   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     69.2      |     100.0     |   81.8   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     77.1      |     100.0     |   87.1   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     57.7      |     100.0     |   73.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    11    |     82.1      |     100.0     |   90.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.250: 87.5

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      6.1      |     49.4      |   10.9   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     64.0      |     51.4      |   57.0   |
|    2     |     100.0     |     96.2      |   98.0   |
|    3     |     61.5      |     88.9      |   72.7   |
|    4     |     94.3      |     94.3      |   94.3   |
|    5     |     94.3      |     94.3      |   94.3   |
|    6     |     94.3      |     94.3      |   94.3   |
|    7     |     100.0     |     100.0     |  100.0   |
|    8     |     74.3      |     96.3      |   83.9   |
|    15    |     75.9      |     95.7      |   84.6   |
|    9     |     57.7      |     100.0     |   73.2   |
|    10    |     91.4      |     91.4      |   91.4   |
|    11    |     71.4      |     87.0      |   78.4   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.500: 83.4



|Edit:89.5|Acc:80.2|
