|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     26.1      |     88.4      |   40.3   |
|    1     |     67.6      |     92.6      |   78.1   |
|    0     |     94.6      |     24.5      |   39.0   |
|    2     |     61.3      |     100.0     |   76.0   |
|    3     |     61.3      |     100.0     |   76.0   |
|    5     |     64.3      |     85.7      |   73.5   |
|    6     |     60.7      |     81.0      |   69.4   |
|    7     |     63.9      |     74.2      |   68.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     67.7      |     70.0      |   68.9   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     44.4      |     16.0      |   23.5   |
|    10    |     100.0     |     82.8      |   90.6   |


Avg F1@0.000: 70.8

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     24.7      |     86.5      |   38.4   |
|    1     |     32.4      |     85.7      |   47.1   |
|    0     |     95.5      |     23.7      |   37.9   |
|    2     |     61.3      |     100.0     |   76.0   |
|    3     |     61.3      |     100.0     |   76.0   |
|    5     |     60.7      |     85.0      |   70.8   |
|    6     |     57.1      |     80.0      |   66.7   |
|    7     |     63.9      |     74.2      |   68.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     67.7      |     70.0      |   68.9   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     44.4      |     16.0      |   23.5   |
|    10    |     100.0     |     82.8      |   90.6   |


Avg F1@0.010: 68.2

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     15.6      |     54.6      |   24.3   |
|    1     |     32.4      |     85.7      |   47.1   |
|    0     |     94.6      |     23.4      |   37.6   |
|    2     |     61.3      |     100.0     |   76.0   |
|    3     |     61.3      |     100.0     |   76.0   |
|    5     |     60.7      |     85.0      |   70.8   |
|    6     |     57.1      |     80.0      |   66.7   |
|    7     |     63.9      |     74.2      |   68.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     67.7      |     70.0      |   68.9   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     44.4      |     16.0      |   23.5   |
|    10    |     100.0     |     82.8      |   90.6   |


Avg F1@0.100: 67.2

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     11.1      |     39.0      |   17.3   |
|    1     |     32.4      |     85.7      |   47.1   |
|    0     |     89.2      |     22.1      |   35.4   |
|    2     |     61.3      |     100.0     |   76.0   |
|    3     |     61.3      |     100.0     |   76.0   |
|    5     |     60.7      |     85.0      |   70.8   |
|    6     |     57.1      |     80.0      |   66.7   |
|    7     |     63.9      |     74.2      |   68.7   |
|    8     |     76.7      |     97.1      |   85.7   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     67.7      |     70.0      |   68.9   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     44.4      |     16.0      |   23.5   |
|    10    |     100.0     |     82.8      |   90.6   |


Avg F1@0.250: 66.4

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      5.7      |     19.9      |   8.8    |
|    1     |     32.4      |     85.7      |   47.1   |
|    0     |     68.5      |     17.0      |   27.2   |
|    2     |     61.3      |     100.0     |   76.0   |
|    3     |     61.3      |     100.0     |   76.0   |
|    5     |     53.6      |     75.0      |   62.5   |
|    6     |     57.1      |     80.0      |   66.7   |
|    7     |     63.9      |     74.2      |   68.7   |
|    8     |     72.1      |     91.2      |   80.5   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     90.9      |     88.9      |   89.9   |
|    4     |     54.8      |     56.7      |   55.7   |
|    9     |     84.4      |     93.1      |   88.5   |
|    12    |     33.3      |     12.0      |   17.6   |
|    10    |     79.2      |     65.5      |   71.7   |


Avg F1@0.500: 61.1



|Edit:62.3|Acc:58.5|
