|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     21.7      |     86.8      |   34.7   |
|    0     |     92.3      |     38.4      |   54.2   |
|    2     |     58.8      |     100.0     |   74.1   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     54.5      |     90.0      |   67.9   |
|    6     |     61.3      |     95.0      |   74.5   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     64.5      |     66.7      |   65.6   |
|    1     |     47.5      |     95.0      |   63.3   |
|    9     |     84.8      |     96.6      |   90.3   |
|    12    |     60.0      |     24.0      |   34.3   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.000: 70.9

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     19.4      |     79.4      |   31.2   |
|    0     |     93.4      |     37.9      |   54.0   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     54.5      |     90.0      |   67.9   |
|    6     |     61.3      |     95.0      |   74.5   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     64.5      |     66.7      |   65.6   |
|    1     |     32.5      |     92.9      |   48.1   |
|    9     |     84.8      |     96.6      |   90.3   |
|    12    |     60.0      |     24.0      |   34.3   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.010: 69.4

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     11.8      |     48.2      |   18.9   |
|    0     |     91.8      |     37.3      |   53.0   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     54.5      |     90.0      |   67.9   |
|    6     |     61.3      |     95.0      |   74.5   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     64.5      |     66.7      |   65.6   |
|    1     |     32.5      |     92.9      |   48.1   |
|    9     |     84.8      |     96.6      |   90.3   |
|    12    |     60.0      |     24.0      |   34.3   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.100: 68.6

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      9.5      |     39.0      |   15.3   |
|    0     |     87.4      |     35.5      |   50.5   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     51.5      |     85.0      |   64.2   |
|    6     |     61.3      |     95.0      |   74.5   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     72.1      |     91.2      |   80.5   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     64.5      |     66.7      |   65.6   |
|    1     |     32.5      |     92.9      |   48.1   |
|    9     |     84.8      |     96.6      |   90.3   |
|    12    |     60.0      |     24.0      |   34.3   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.250: 67.4

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      4.7      |     19.1      |   7.5    |
|    0     |     60.4      |     24.6      |   34.9   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     42.4      |     70.0      |   52.8   |
|    6     |     54.8      |     85.0      |   66.7   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     69.8      |     88.2      |   77.9   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     95.6      |     95.6      |   95.6   |
|    4     |     58.1      |     60.0      |   59.0   |
|    1     |     30.0      |     85.7      |   44.4   |
|    9     |     81.8      |     93.1      |   87.1   |
|    12    |     50.0      |     20.0      |   28.6   |
|    10    |     84.0      |     72.4      |   77.8   |


Avg F1@0.500: 61.8



|Edit:62.3|Acc:59.3|
