|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     95.1      |     72.1      |   82.1   |
|    1     |     39.4      |     100.0     |   56.5   |
|    -1    |     29.4      |     58.5      |   39.2   |
|    2     |     79.3      |     100.0     |   88.5   |
|    3     |     74.2      |     100.0     |   85.2   |
|    5     |     60.6      |     83.3      |   70.2   |
|    4     |     79.3      |     100.0     |   88.5   |
|    6     |     65.7      |     100.0     |   79.3   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |


Avg F1@0.000: 75.1

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     94.6      |     71.1      |   81.2   |
|    1     |     33.3      |     100.0     |   50.0   |
|    -1    |     28.2      |     55.4      |   37.4   |
|    2     |     79.3      |     100.0     |   88.5   |
|    3     |     74.2      |     100.0     |   85.2   |
|    5     |     57.6      |     82.6      |   67.9   |
|    4     |     79.3      |     100.0     |   88.5   |
|    6     |     65.7      |     100.0     |   79.3   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |


Avg F1@0.010: 73.9

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     93.0      |     69.9      |   79.8   |
|    1     |     33.3      |     100.0     |   50.0   |
|    -1    |     14.7      |     28.9      |   19.5   |
|    2     |     79.3      |     100.0     |   88.5   |
|    3     |     74.2      |     100.0     |   85.2   |
|    5     |     57.6      |     82.6      |   67.9   |
|    4     |     79.3      |     100.0     |   88.5   |
|    6     |     65.7      |     100.0     |   79.3   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |


Avg F1@0.100: 72.0

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     84.9      |     63.8      |   72.9   |
|    1     |     33.3      |     100.0     |   50.0   |
|    -1    |      9.8      |     19.3      |   13.0   |
|    2     |     79.3      |     100.0     |   88.5   |
|    3     |     74.2      |     100.0     |   85.2   |
|    5     |     57.6      |     82.6      |   67.9   |
|    4     |     79.3      |     100.0     |   88.5   |
|    6     |     62.9      |     95.7      |   75.9   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |


Avg F1@0.250: 70.3

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     67.6      |     50.8      |   58.0   |
|    1     |     33.3      |     100.0     |   50.0   |
|    -1    |      6.1      |     12.0      |   8.1    |
|    2     |     79.3      |     100.0     |   88.5   |
|    3     |     74.2      |     100.0     |   85.2   |
|    5     |     33.3      |     47.8      |   39.3   |
|    4     |     79.3      |     100.0     |   88.5   |
|    6     |     57.1      |     87.0      |   69.0   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     60.0      |     91.3      |   72.4   |


Avg F1@0.500: 64.1



|Edit:64.1|Acc:60.5|
