|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     100.0     |     35.7      |   52.6   |
|    0     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    6     |      0.0      |      0.0      |   0.0    |
|    7     |      0.0      |      0.0      |   0.0    |
|    9     |      0.0      |      0.0      |   0.0    |
|    10    |      0.0      |      0.0      |   0.0    |
|    1     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    8     |      0.0      |      0.0      |   0.0    |


Avg F1@0.000: 4.4

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     91.4      |     33.7      |   49.2   |
|    0     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    6     |      0.0      |      0.0      |   0.0    |
|    7     |      0.0      |      0.0      |   0.0    |
|    9     |      0.0      |      0.0      |   0.0    |
|    10    |      0.0      |      0.0      |   0.0    |
|    1     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    8     |      0.0      |      0.0      |   0.0    |


Avg F1@0.010: 4.1

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     77.1      |     28.4      |   41.5   |
|    0     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    6     |      0.0      |      0.0      |   0.0    |
|    7     |      0.0      |      0.0      |   0.0    |
|    9     |      0.0      |      0.0      |   0.0    |
|    10    |      0.0      |      0.0      |   0.0    |
|    1     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    8     |      0.0      |      0.0      |   0.0    |


Avg F1@0.100: 3.5

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      5.7      |      2.1      |   3.1    |
|    0     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    6     |      0.0      |      0.0      |   0.0    |
|    7     |      0.0      |      0.0      |   0.0    |
|    9     |      0.0      |      0.0      |   0.0    |
|    10    |      0.0      |      0.0      |   0.0    |
|    1     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    8     |      0.0      |      0.0      |   0.0    |


Avg F1@0.250: 0.3

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      0.0      |      0.0      |   0.0    |
|    0     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    6     |      0.0      |      0.0      |   0.0    |
|    7     |      0.0      |      0.0      |   0.0    |
|    9     |      0.0      |      0.0      |   0.0    |
|    10    |      0.0      |      0.0      |   0.0    |
|    1     |      0.0      |      0.0      |   0.0    |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |
|    8     |      0.0      |      0.0      |   0.0    |


Avg F1@0.500: 0.0



|Edit:0.0|Acc:28.1|
