|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     24.8      |     98.1      |   39.6   |
|    0     |     89.4      |     57.1      |   69.7   |
|    3     |     66.7      |     87.0      |   75.5   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     91.7      |     45.8      |   61.1   |
|    9     |     61.8      |     91.3      |   73.7   |
|    10    |     100.0     |     97.1      |   98.6   |
|    1     |     79.2      |     82.6      |   80.9   |
|    2     |     87.5      |     84.0      |   85.7   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     67.7      |     87.5      |   76.4   |
|    8     |     84.6      |     100.0     |   91.7   |


Avg F1@0.000: 78.7

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     21.5      |     96.8      |   35.2   |
|    0     |     89.4      |     54.2      |   67.5   |
|    3     |     66.7      |     87.0      |   75.5   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     91.7      |     45.8      |   61.1   |
|    9     |     61.8      |     91.3      |   73.7   |
|    10    |     100.0     |     97.1      |   98.6   |
|    1     |     79.2      |     82.6      |   80.9   |
|    2     |     79.2      |     82.6      |   80.9   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     64.5      |     87.0      |   74.1   |
|    8     |     84.6      |     100.0     |   91.7   |


Avg F1@0.010: 77.5

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     15.5      |     69.5      |   25.3   |
|    0     |     87.3      |     52.9      |   65.9   |
|    3     |     66.7      |     87.0      |   75.5   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     91.7      |     45.8      |   61.1   |
|    9     |     61.8      |     91.3      |   73.7   |
|    10    |     100.0     |     97.1      |   98.6   |
|    1     |     79.2      |     82.6      |   80.9   |
|    2     |     79.2      |     82.6      |   80.9   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     64.5      |     87.0      |   74.1   |
|    8     |     84.6      |     100.0     |   91.7   |


Avg F1@0.100: 76.5

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     11.7      |     52.6      |   19.2   |
|    0     |     83.1      |     50.3      |   62.7   |
|    3     |     66.7      |     87.0      |   75.5   |
|    6     |     96.9      |     88.6      |   92.5   |
|    7     |     83.3      |     41.7      |   55.6   |
|    9     |     61.8      |     91.3      |   73.7   |
|    10    |     100.0     |     97.1      |   98.6   |
|    1     |     79.2      |     82.6      |   80.9   |
|    2     |     79.2      |     82.6      |   80.9   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     64.5      |     87.0      |   74.1   |
|    8     |     84.6      |     100.0     |   91.7   |


Avg F1@0.250: 75.1

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      7.5      |     33.7      |   12.3   |
|    0     |     59.3      |     35.9      |   44.7   |
|    3     |     66.7      |     87.0      |   75.5   |
|    6     |     78.1      |     71.4      |   74.6   |
|    7     |     75.0      |     37.5      |   50.0   |
|    9     |     58.8      |     87.0      |   70.2   |
|    10    |     97.1      |     94.3      |   95.7   |
|    1     |     79.2      |     82.6      |   80.9   |
|    2     |     75.0      |     78.3      |   76.6   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     64.5      |     87.0      |   74.1   |
|    8     |     84.6      |     100.0     |   91.7   |


Avg F1@0.500: 70.1



|Edit:75.4|Acc:61.1|
