|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     21.7      |     97.3      |   35.5   |
|    0     |     88.4      |     72.3      |   79.6   |
|    3     |     66.7      |     91.7      |   77.2   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     84.2      |     66.7      |   74.4   |
|    9     |     65.7      |     100.0     |   79.3   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     90.9      |   85.1   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     68.8      |     91.7      |   78.6   |
|    8     |     57.9      |     100.0     |   73.3   |


Avg F1@0.000: 79.8

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     17.3      |     89.5      |   29.0   |
|    0     |     88.4      |     68.6      |   77.3   |
|    3     |     63.6      |     91.3      |   75.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     84.2      |     66.7      |   74.4   |
|    9     |     65.7      |     100.0     |   79.3   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     65.6      |     91.3      |   76.4   |
|    8     |     57.9      |     100.0     |   73.3   |


Avg F1@0.010: 78.5

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |      8.7      |     45.3      |   14.7   |
|    0     |     87.2      |     67.6      |   76.2   |
|    3     |     63.6      |     91.3      |   75.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     84.2      |     66.7      |   74.4   |
|    9     |     65.7      |     100.0     |   79.3   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     65.6      |     91.3      |   76.4   |
|    8     |     57.9      |     100.0     |   73.3   |


Avg F1@0.100: 77.3

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      7.5      |     38.9      |   12.6   |
|    0     |     80.2      |     62.2      |   70.0   |
|    3     |     63.6      |     91.3      |   75.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     68.4      |     54.2      |   60.5   |
|    9     |     62.9      |     95.7      |   75.9   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     65.6      |     91.3      |   76.4   |
|    8     |     57.9      |     100.0     |   73.3   |


Avg F1@0.250: 75.1

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      6.1      |     31.6      |   10.2   |
|    0     |     59.5      |     46.2      |   52.0   |
|    3     |     63.6      |     91.3      |   75.0   |
|    6     |     81.2      |     74.3      |   77.6   |
|    7     |     63.2      |     50.0      |   55.8   |
|    9     |     60.0      |     91.3      |   72.4   |
|    10    |     94.3      |     94.3      |   94.3   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     65.6      |     91.3      |   76.4   |
|    8     |     57.9      |     100.0     |   73.3   |


Avg F1@0.500: 70.8



|Edit:76.8|Acc:63.3|
