|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     21.6      |     97.3      |   35.4   |
|    0     |     88.4      |     72.5      |   79.7   |
|    3     |     64.7      |     95.7      |   77.2   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     88.2      |     62.5      |   73.2   |
|    9     |     65.7      |     100.0     |   79.3   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.8      |     91.3      |   85.7   |
|    2     |     81.5      |     91.7      |   86.3   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     66.7      |     91.7      |   77.2   |
|    8     |     61.1      |     100.0     |   75.9   |


Avg F1@0.000: 80.1

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     17.6      |     91.6      |   29.5   |
|    0     |     88.8      |     68.9      |   77.6   |
|    3     |     64.7      |     95.7      |   77.2   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     88.2      |     62.5      |   73.2   |
|    9     |     65.7      |     100.0     |   79.3   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.8      |     91.3      |   85.7   |
|    2     |     77.8      |     91.3      |   84.0   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     63.6      |     91.3      |   75.0   |
|    8     |     61.1      |     100.0     |   75.9   |


Avg F1@0.010: 79.0

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     10.3      |     53.7      |   17.3   |
|    0     |     87.6      |     67.9      |   76.5   |
|    3     |     64.7      |     95.7      |   77.2   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     76.5      |     54.2      |   63.4   |
|    9     |     65.7      |     100.0     |   79.3   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.8      |     91.3      |   85.7   |
|    2     |     77.8      |     91.3      |   84.0   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     63.6      |     91.3      |   75.0   |
|    8     |     61.1      |     100.0     |   75.9   |


Avg F1@0.100: 77.1

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      7.9      |     41.1      |   13.2   |
|    0     |     81.0      |     62.8      |   70.8   |
|    3     |     64.7      |     95.7      |   77.2   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     76.5      |     54.2      |   63.4   |
|    9     |     62.9      |     95.7      |   75.9   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.8      |     91.3      |   85.7   |
|    2     |     77.8      |     91.3      |   84.0   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     63.6      |     91.3      |   75.0   |
|    8     |     61.1      |     100.0     |   75.9   |


Avg F1@0.250: 76.0

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      6.3      |     32.6      |   10.5   |
|    0     |     58.7      |     45.5      |   51.3   |
|    3     |     64.7      |     95.7      |   77.2   |
|    6     |     81.2      |     74.3      |   77.6   |
|    7     |     70.6      |     50.0      |   58.5   |
|    9     |     62.9      |     95.7      |   75.9   |
|    10    |     97.1      |     97.1      |   97.1   |
|    1     |     80.8      |     91.3      |   85.7   |
|    2     |     77.8      |     91.3      |   84.0   |
|    4     |     95.7      |     95.7      |   95.7   |
|    5     |     63.6      |     91.3      |   75.0   |
|    8     |     61.1      |     100.0     |   75.9   |


Avg F1@0.500: 72.0



|Edit:76.8|Acc:64.3|
