|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     33.8      |     91.9      |   49.4   |
|    3     |     78.6      |     84.6      |   81.5   |
|    6     |     93.8      |     83.3      |   88.2   |
|    7     |     93.8      |     62.5      |   75.0   |
|    9     |     66.7      |     95.7      |   78.6   |
|    10    |     100.0     |     97.1      |   98.6   |
|    0     |     96.4      |     27.8      |   43.1   |
|    1     |     100.0     |     65.2      |   78.9   |
|    2     |     100.0     |     65.2      |   78.9   |
|    4     |     93.3      |     60.9      |   73.7   |
|    5     |     80.8      |     77.8      |   79.2   |
|    8     |     73.3      |     100.0     |   84.6   |


Avg F1@0.000: 75.8

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     28.5      |     90.5      |   43.3   |
|    3     |     67.9      |     82.6      |   74.5   |
|    6     |     90.6      |     82.9      |   86.6   |
|    7     |     93.8      |     62.5      |   75.0   |
|    9     |     66.7      |     95.7      |   78.6   |
|    10    |     100.0     |     97.1      |   98.6   |
|    0     |     96.4      |     25.6      |   40.5   |
|    1     |     100.0     |     65.2      |   78.9   |
|    2     |     100.0     |     65.2      |   78.9   |
|    4     |     93.3      |     60.9      |   73.7   |
|    5     |     65.4      |     73.9      |   69.4   |
|    8     |     73.3      |     100.0     |   84.6   |


Avg F1@0.010: 73.6

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     26.2      |     83.2      |   39.8   |
|    3     |     67.9      |     82.6      |   74.5   |
|    6     |     90.6      |     82.9      |   86.6   |
|    7     |     87.5      |     58.3      |   70.0   |
|    9     |     66.7      |     95.7      |   78.6   |
|    10    |     100.0     |     97.1      |   98.6   |
|    0     |     95.2      |     25.3      |   40.0   |
|    1     |     100.0     |     65.2      |   78.9   |
|    2     |     100.0     |     65.2      |   78.9   |
|    4     |     93.3      |     60.9      |   73.7   |
|    5     |     65.4      |     73.9      |   69.4   |
|    8     |     73.3      |     100.0     |   84.6   |


Avg F1@0.100: 72.8

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     17.5      |     55.8      |   26.7   |
|    3     |     67.9      |     82.6      |   74.5   |
|    6     |     90.6      |     82.9      |   86.6   |
|    7     |     87.5      |     58.3      |   70.0   |
|    9     |     66.7      |     95.7      |   78.6   |
|    10    |     100.0     |     97.1      |   98.6   |
|    0     |     91.6      |     24.4      |   38.5   |
|    1     |     100.0     |     65.2      |   78.9   |
|    2     |     100.0     |     65.2      |   78.9   |
|    4     |     93.3      |     60.9      |   73.7   |
|    5     |     65.4      |     73.9      |   69.4   |
|    8     |     73.3      |     100.0     |   84.6   |


Avg F1@0.250: 71.6

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      7.0      |     22.1      |   10.6   |
|    3     |     64.3      |     78.3      |   70.6   |
|    6     |     68.8      |     62.9      |   65.7   |
|    7     |     75.0      |     50.0      |   60.0   |
|    9     |     57.6      |     82.6      |   67.9   |
|    10    |     58.8      |     57.1      |   58.0   |
|    0     |     77.1      |     20.5      |   32.4   |
|    1     |     100.0     |     65.2      |   78.9   |
|    2     |     100.0     |     65.2      |   78.9   |
|    4     |     86.7      |     56.5      |   68.4   |
|    5     |     57.7      |     65.2      |   61.2   |
|    8     |     73.3      |     100.0     |   84.6   |


Avg F1@0.500: 61.4



|Edit:71.2|Acc:51.4|
