|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     22.8      |     98.1      |   37.0   |
|    0     |     89.1      |     63.5      |   74.2   |
|    3     |     67.7      |     87.5      |   76.4   |
|    6     |     100.0     |     94.3      |   97.1   |
|    7     |     88.9      |     66.7      |   76.2   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     90.9      |   85.1   |
|    2     |     88.0      |     88.0      |   88.0   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     69.7      |     95.8      |   80.7   |
|    8     |     64.7      |     100.0     |   78.6   |


Avg F1@0.000: 80.7

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     19.8      |     96.8      |   32.9   |
|    0     |     88.6      |     59.9      |   71.5   |
|    3     |     64.5      |     87.0      |   74.1   |
|    6     |     100.0     |     94.3      |   97.1   |
|    7     |     88.9      |     66.7      |   76.2   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     66.7      |     95.7      |   78.6   |
|    8     |     64.7      |     100.0     |   78.6   |


Avg F1@0.010: 79.2

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     12.5      |     61.1      |   20.7   |
|    0     |     87.7      |     59.3      |   70.7   |
|    3     |     64.5      |     87.0      |   74.1   |
|    6     |     100.0     |     94.3      |   97.1   |
|    7     |     88.9      |     66.7      |   76.2   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     66.7      |     95.7      |   78.6   |
|    8     |     64.7      |     100.0     |   78.6   |


Avg F1@0.100: 78.1

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      9.9      |     48.4      |   16.4   |
|    0     |     82.9      |     56.1      |   66.9   |
|    3     |     64.5      |     87.0      |   74.1   |
|    6     |     97.0      |     91.4      |   94.1   |
|    7     |     83.3      |     62.5      |   71.4   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     66.7      |     95.7      |   78.6   |
|    8     |     64.7      |     100.0     |   78.6   |


Avg F1@0.250: 76.8

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      7.1      |     34.7      |   11.8   |
|    0     |     58.3      |     39.4      |   47.0   |
|    3     |     64.5      |     87.0      |   74.1   |
|    6     |     81.8      |     77.1      |   79.4   |
|    7     |     66.7      |     50.0      |   57.1   |
|    9     |     61.8      |     91.3      |   73.7   |
|    10    |     97.1      |     97.1      |   97.1   |
|    1     |     80.0      |     87.0      |   83.3   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     66.7      |     95.7      |   78.6   |
|    8     |     64.7      |     100.0     |   78.6   |


Avg F1@0.500: 71.8



|Edit:77.7|Acc:63.7|
