|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     11.7      |     83.0      |   20.6   |
|    6     |     86.1      |     88.6      |   87.3   |
|    7     |     94.1      |     86.5      |   90.1   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     100.0     |      5.7      |   10.8   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.3      |     97.3      |   97.3   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     89.5      |     87.2      |   88.3   |
|    11    |     91.7      |     84.6      |   88.0   |
|    12    |     88.6      |     86.1      |   87.3   |
|    0     |     90.4      |     41.3      |   56.7   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     76.2      |     45.7      |   57.1   |
|    15    |     81.2      |     31.7      |   45.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.000: 73.4

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |      8.0      |     76.8      |   14.4   |
|    6     |     83.3      |     88.2      |   85.7   |
|    7     |     94.1      |     86.5      |   90.1   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     100.0     |      5.3      |   10.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.3      |     97.3      |   97.3   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     89.5      |     87.2      |   88.3   |
|    11    |     91.7      |     84.6      |   88.0   |
|    12    |     88.6      |     86.1      |   87.3   |
|    0     |     91.5      |     39.5      |   55.2   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     76.2      |     45.7      |   57.1   |
|    15    |     81.2      |     31.7      |   45.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.010: 72.8

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |      3.8      |     36.2      |   6.8    |
|    6     |     83.3      |     88.2      |   85.7   |
|    7     |     91.2      |     83.8      |   87.3   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     100.0     |      5.3      |   10.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.3      |     97.3      |   97.3   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     84.2      |     82.1      |   83.1   |
|    11    |     88.9      |     82.1      |   85.3   |
|    12    |     85.7      |     83.3      |   84.5   |
|    0     |     86.2      |     37.2      |   52.0   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     71.4      |     42.9      |   53.6   |
|    15    |     81.2      |     31.7      |   45.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.100: 71.2

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      2.4      |     23.2      |   4.4    |
|    6     |     83.3      |     88.2      |   85.7   |
|    7     |     88.2      |     81.1      |   84.5   |
|    8     |     83.8      |     83.8      |   83.8   |
|    5     |     50.0      |      2.6      |   5.0    |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     91.9      |     91.9      |   91.9   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     84.2      |     82.1      |   83.1   |
|    11    |     86.1      |     79.5      |   82.7   |
|    12    |     82.9      |     80.6      |   81.7   |
|    0     |     75.5      |     32.6      |   45.6   |
|    13    |     91.9      |     59.6      |   72.3   |
|    14    |     61.9      |     37.1      |   46.4   |
|    15    |     68.8      |     26.8      |   38.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     97.1      |     94.4      |   95.8   |


Avg F1@0.250: 68.2

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      0.8      |      7.2      |   1.4    |
|    6     |     75.0      |     79.4      |   77.1   |
|    7     |     76.5      |     70.3      |   73.2   |
|    8     |     73.0      |     73.0      |   73.0   |
|    5     |      0.0      |      0.0      |   0.0    |
|    1     |     86.5      |     84.2      |   85.3   |
|    2     |     89.2      |     89.2      |   89.2   |
|    9     |     86.8      |     76.7      |   81.5   |
|    10    |     71.1      |     69.2      |   70.1   |
|    11    |     83.3      |     76.9      |   80.0   |
|    12    |     80.0      |     77.8      |   78.9   |
|    0     |     55.9      |     24.1      |   33.7   |
|    13    |     78.4      |     50.9      |   61.7   |
|    14    |     33.3      |     20.0      |   25.0   |
|    15    |     34.4      |     13.4      |   19.3   |
|    3     |     61.1      |     91.7      |   73.3   |
|    4     |     80.0      |     77.8      |   78.9   |


Avg F1@0.500: 58.9



|Edit:69.1|Acc:58.7|
