<<<<<<< Updated upstream
task,baseline_tas_f1_050,vm_tas_f1_050,delta_tas_f1_050,baseline_tas_edit,vm_tas_edit,delta_tas_edit,baseline_tas_acc,vm_tas_acc,delta_tas_acc,baseline_ed_f1_050,vm_ed_f1_050,delta_ed_f1_050,baseline_omit_oiou,vm_omit_oiou,delta_omit_oiou,baseline_omit_oacc,vm_omit_oacc,delta_omit_oacc,baseline_er_wf1_000,vm_er_wf1_000,delta_er_wf1_000,baseline_er_wf1_050,vm_er_wf1_050,delta_er_wf1_050,baseline_er_eacc_000,vm_er_eacc_000,delta_er_eacc_000,baseline_er_eacc_050,vm_er_eacc_050,delta_er_eacc_050
tea,70.1,71.8,1.7000000000000028,75.4,77.7,2.299999999999997,61.0,63.7,2.700000000000003,44.2,39.0,-5.200000000000003,38.6,40.9,2.299999999999997,83.0,76.6,-6.400000000000006,19.9,23.1,3.200000000000003,1.1,1.3,0.19999999999999996,100.0,100.0,0.0,75.0,75.0,0.0
oatmeal,82.9,83.4,0.5,88.2,89.5,1.2999999999999972,78.3,80.2,1.9000000000000057,46.9,49.6,2.700000000000003,70.1,83.8,13.700000000000003,96.8,90.5,-6.299999999999997,29.0,24.9,-4.100000000000001,6.4,3.9,-2.5000000000000004,100.0,75.0,-25.0,75.0,50.0,-25.0
pinwheels,61.1,61.8,0.6999999999999957,62.3,62.3,0.0,58.5,59.3,0.7999999999999972,23.8,25.7,1.8999999999999986,50.8,50.9,0.10000000000000142,79.5,74.4,-5.099999999999994,18.3,10.3,-8.0,0.5,0.6,0.09999999999999998,100.0,75.0,-25.0,50.0,50.0,0.0
quesadilla,68.2,65.4,-2.799999999999997,69.5,66.3,-3.200000000000003,65.2,60.4,-4.800000000000004,30.4,21.7,-8.7,49.2,48.1,-1.1000000000000014,62.5,54.2,-8.299999999999997,32.4,24.4,-8.0,0.8,0.3,-0.5,100.0,100.0,0.0,50.0,25.0,-25.0
coffee,61.3,65.3,4.0,72.1,73.7,1.6000000000000085,59.9,64.9,5.000000000000007,11.6,21.5,9.9,27.0,22.9,-4.100000000000001,52.6,42.1,-10.5,5.4,6.4,1.0,1.8,0.0,-1.8,100.0,100.0,0.0,100.0,0.0,-100.0
=======
task,baseline_tas_f1_050,vm_tas_f1_050,delta_tas_f1_050,baseline_tas_edit,vm_tas_edit,delta_tas_edit,baseline_tas_acc,vm_tas_acc,delta_tas_acc,baseline_ed_f1_050,vm_ed_f1_050,delta_ed_f1_050,baseline_omit_oiou,vm_omit_oiou,delta_omit_oiou,baseline_omit_oacc,vm_omit_oacc,delta_omit_oacc,baseline_er_wf1_000,vm_er_wf1_000,delta_er_wf1_000,baseline_er_wf1_050,vm_er_wf1_050,delta_er_wf1_050,baseline_er_eacc_000,vm_er_eacc_000,delta_er_eacc_000,baseline_er_eacc_050,vm_er_eacc_050,delta_er_eacc_050
tea,70.1,71.8,1.7000000000000028,75.4,77.7,2.299999999999997,61.0,63.7,2.700000000000003,44.2,39.0,-5.200000000000003,38.6,40.9,2.299999999999997,83.0,76.6,-6.400000000000006,19.9,23.1,3.200000000000003,1.1,1.3,0.19999999999999996,100.0,100.0,0.0,75.0,75.0,0.0
oatmeal,82.9,83.4,0.5,88.2,89.5,1.2999999999999972,78.3,80.2,1.9000000000000057,46.9,49.6,2.700000000000003,70.1,83.8,13.700000000000003,96.8,90.5,-6.299999999999997,29.0,24.9,-4.100000000000001,6.4,3.9,-2.5000000000000004,100.0,75.0,-25.0,75.0,50.0,-25.0
pinwheels,61.1,61.8,0.6999999999999957,62.3,62.3,0.0,58.5,59.3,0.7999999999999972,23.8,25.7,1.8999999999999986,50.8,50.9,0.10000000000000142,79.5,74.4,-5.099999999999994,18.3,10.3,-8.0,0.5,0.6,0.09999999999999998,100.0,75.0,-25.0,50.0,50.0,0.0
quesadilla,68.2,65.4,-2.799999999999997,69.5,66.3,-3.200000000000003,65.2,60.4,-4.800000000000004,30.4,21.7,-8.7,49.2,48.1,-1.1000000000000014,62.5,54.2,-8.299999999999997,32.4,24.4,-8.0,0.8,0.3,-0.5,100.0,100.0,0.0,50.0,25.0,-25.0
coffee,61.3,65.3,4.0,72.1,73.7,1.6000000000000085,59.9,64.9,5.000000000000007,11.6,21.5,9.9,27.0,22.9,-4.100000000000001,52.6,42.1,-10.5,5.4,6.4,1.0,1.8,0.0,-1.8,100.0,100.0,0.0,100.0,0.0,-100.0
>>>>>>> Stashed changes
