variant,variant_label,scope,task,run_id,config,log_dir,tas_f1_050,tas_edit,tas_acc,ed_f1_050,omit_oiou,omit_oacc,er_wf1_000,er_wf1_050,er_eacc_000,er_eacc_050
baseline,Baseline,five_task,tea,baseline_retrain_04_01_17_04_37,configs/EgoPER/tea/generated_available_only/vc_4omini_post_db0.6.available_only.baseline.train.json,reports/source_logs/EgoPER/baseline/tea,70.1,75.4,61.0,44.2,38.6,83.0,19.9,1.1,100.0,75.0
baseline,Baseline,five_task,oatmeal,baseline_retrain_04_01_17_16_36,configs/EgoPER/oatmeal/generated_available_only/vc_4omini_post_db0.6.available_only.baseline.train.json,reports/source_logs/EgoPER/baseline/oatmeal,82.9,88.2,78.3,46.9,70.1,96.8,29.0,6.4,100.0,75.0
baseline,Baseline,five_task,pinwheels,baseline_retrain_04_01_17_39_09,configs/EgoPER/pinwheels/generated_available_only/vc_4omini_post_db0.6.available_only.baseline.train.json,reports/source_logs/EgoPER/baseline/pinwheels,61.1,62.3,58.5,23.8,50.8,79.5,18.3,0.5,100.0,50.0
baseline,Baseline,five_task,quesadilla,baseline_retrain_04_01_17_55_56,configs/EgoPER/quesadilla/generated_available_only/vc_4omini_post_db0.6.available_only.baseline.train.json,reports/source_logs/EgoPER/baseline/quesadilla,68.2,69.5,65.2,30.4,49.2,62.5,32.4,0.8,100.0,50.0
baseline,Baseline,five_task,coffee,baseline_retrain_04_01_18_01_54,configs/EgoPER/coffee/generated_available_only/vc_4omini_post_db0.6.available_only.baseline.train.json,reports/source_logs/EgoPER/baseline/coffee,61.3,72.1,59.9,11.6,27.0,52.6,5.4,1.8,100.0,100.0
visual_memory,Visual memory,five_task,tea,vm_warmstart_04_02_07_33_44,configs/EgoPER/tea/generated_available_only/vc_4omini_post_db0.6.available_only.visual_memory.train.json,reports/source_logs/EgoPER/visual_memory/tea,71.8,77.7,63.7,39.0,40.9,76.6,23.1,1.3,100.0,75.0
visual_memory,Visual memory,five_task,oatmeal,vm_warmstart_04_02_08_14_50,configs/EgoPER/oatmeal/generated_available_only/vc_4omini_post_db0.6.available_only.visual_memory.train.json,reports/source_logs/EgoPER/visual_memory/oatmeal,83.4,89.5,80.2,49.6,83.8,90.5,24.9,3.9,75.0,50.0
visual_memory,Visual memory,five_task,pinwheels,vm_warmstart_04_02_09_28_25,configs/EgoPER/pinwheels/generated_available_only/vc_4omini_post_db0.6.available_only.visual_memory.train.json,reports/source_logs/EgoPER/visual_memory/pinwheels,61.8,62.3,59.3,25.7,50.9,74.4,10.3,0.6,75.0,50.0
visual_memory,Visual memory,five_task,quesadilla,vm_warmstart_04_02_10_38_26,configs/EgoPER/quesadilla/generated_available_only/vc_4omini_post_db0.6.available_only.visual_memory.train.json,reports/source_logs/EgoPER/visual_memory/quesadilla,65.4,66.3,60.4,21.7,48.1,54.2,24.4,0.3,100.0,25.0
visual_memory,Visual memory,five_task,coffee,vm_warmstart_04_02_11_02_30,configs/EgoPER/coffee/generated_available_only/vc_4omini_post_db0.6.available_only.visual_memory.train.json,reports/source_logs/EgoPER/visual_memory/coffee,65.3,73.7,64.9,21.5,22.9,42.1,6.4,0.0,100.0,0.0
semantic_memory,Semantic memory,five_task,tea,sem_v1_avail_train5_tea_04_04_03_53_35,configs/EgoPER/tea/generated_available_only/vc_4omini_post_db0.6.available_only.semantic_memory.train5.json,reports/source_logs/EgoPER/semantic_memory/tea,72.0,76.8,64.3,40.8,41.0,72.3,24.1,1.9,100.0,75.0
semantic_memory,Semantic memory,five_task,oatmeal,sem_v1_avail_train5_oatmeal_04_04_05_27_31,configs/EgoPER/oatmeal/generated_available_only/vc_4omini_post_db0.6.available_only.semantic_memory.train5.json,reports/source_logs/EgoPER/semantic_memory/oatmeal,82.3,89.3,79.7,47.5,85.3,92.1,33.6,7.1,100.0,75.0
semantic_memory,Semantic memory,five_task,pinwheels,sem_v1_avail_train5_pinwheels_04_04_08_20_35,configs/EgoPER/pinwheels/generated_available_only/vc_4omini_post_db0.6.available_only.semantic_memory.train5.json,reports/source_logs/EgoPER/semantic_memory/pinwheels,61.1,61.5,58.8,26.5,42.8,63.2,15.5,0.6,100.0,50.0
semantic_memory,Semantic memory,five_task,quesadilla,sem_v1_avail_train5_quesadilla_04_04_11_36_33,configs/EgoPER/quesadilla/generated_available_only/vc_4omini_post_db0.6.available_only.semantic_memory.train5.json,reports/source_logs/EgoPER/semantic_memory/quesadilla,64.1,64.1,60.5,18.5,34.6,37.5,20.3,0.6,100.0,25.0
semantic_memory,Semantic memory,five_task,coffee,sem_v1_avail_train5_coffee_04_04_12_21_08,configs/EgoPER/coffee/generated_available_only/vc_4omini_post_db0.6.available_only.semantic_memory.train5.json,reports/source_logs/EgoPER/semantic_memory/coffee,64.2,72.9,63.6,17.6,20.6,36.8,3.7,0.2,100.0,33.3
soft_erm_v1,Soft ERM v1,tea_only,tea,tea_availonly_ermv1_eval_0405_015142,configs/EgoPER/tea/generated_available_only/vc_4omini_post_db0.6.available_only.visual_semantic_memory.erm_v1.eval.json,reports/source_logs/EgoPER/soft_erm_v1/tea,71.7,77.7,64.0,9.7,39.3,70.2,8.9,0.6,75.0,50.0
