|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     90.6      |     53.6      |   67.3   |
|    -1    |      9.0      |     80.3      |   16.1   |
|    6     |     82.4      |     82.4      |   82.4   |
|    7     |     93.9      |     83.8      |   88.6   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     76.9      |     27.0      |   40.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.2      |     94.6      |   95.9   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     92.1      |     89.7      |   90.9   |
|    11    |     89.5      |     87.2      |   88.3   |
|    12    |     88.2      |     83.3      |   85.7   |
|    13    |     97.2      |     61.4      |   75.3   |
|    14    |     83.8      |     88.6      |   86.1   |
|    15    |     80.0      |     34.1      |   47.9   |
|    3     |     68.6      |     100.0     |   81.4   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.000: 77.0

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     90.2      |     52.6      |   66.5   |
|    -1    |      7.5      |     73.9      |   13.6   |
|    6     |     82.4      |     82.4      |   82.4   |
|    7     |     93.9      |     83.8      |   88.6   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     76.9      |     26.3      |   39.2   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.2      |     94.6      |   95.9   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     92.1      |     89.7      |   90.9   |
|    11    |     89.5      |     87.2      |   88.3   |
|    12    |     88.2      |     83.3      |   85.7   |
|    13    |     97.2      |     61.4      |   75.3   |
|    14    |     83.8      |     88.6      |   86.1   |
|    15    |     80.0      |     34.1      |   47.9   |
|    3     |     68.6      |     100.0     |   81.4   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.010: 76.7

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     87.0      |     50.8      |   64.2   |
|    -1    |      4.4      |     43.5      |   8.0    |
|    6     |     82.4      |     82.4      |   82.4   |
|    7     |     90.9      |     81.1      |   85.7   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     53.8      |     18.4      |   27.5   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.2      |     94.6      |   95.9   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     92.1      |     89.7      |   90.9   |
|    11    |     86.8      |     84.6      |   85.7   |
|    12    |     85.3      |     80.6      |   82.9   |
|    13    |     97.2      |     61.4      |   75.3   |
|    14    |     83.8      |     88.6      |   86.1   |
|    15    |     80.0      |     34.1      |   47.9   |
|    3     |     68.6      |     100.0     |   81.4   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.100: 75.1

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     76.8      |     44.8      |   56.6   |
|    -1    |      2.4      |     23.2      |   4.3    |
|    6     |     82.4      |     82.4      |   82.4   |
|    7     |     81.8      |     73.0      |   77.1   |
|    8     |     83.8      |     83.8      |   83.8   |
|    5     |     53.8      |     18.4      |   27.5   |
|    1     |     91.9      |     89.5      |   90.7   |
|    2     |     97.2      |     94.6      |   95.9   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     89.5      |     87.2      |   88.3   |
|    11    |     81.6      |     79.5      |   80.5   |
|    12    |     82.4      |     77.8      |   80.0   |
|    13    |     97.2      |     61.4      |   75.3   |
|    14    |     75.7      |     80.0      |   77.8   |
|    15    |     62.9      |     26.8      |   37.6   |
|    3     |     68.6      |     100.0     |   81.4   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.250: 71.9

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     57.1      |     33.3      |   42.1   |
|    -1    |      0.7      |      7.2      |   1.3    |
|    6     |     70.6      |     70.6      |   70.6   |
|    7     |     75.8      |     67.6      |   71.4   |
|    8     |     73.0      |     73.0      |   73.0   |
|    5     |     15.4      |      5.3      |   7.8    |
|    1     |     83.8      |     81.6      |   82.7   |
|    2     |     91.7      |     89.2      |   90.4   |
|    9     |     86.8      |     76.7      |   81.5   |
|    10    |     73.7      |     71.8      |   72.7   |
|    11    |     73.7      |     71.8      |   72.7   |
|    12    |     70.6      |     66.7      |   68.6   |
|    13    |     83.3      |     52.6      |   64.5   |
|    14    |     59.5      |     62.9      |   61.1   |
|    15    |     34.3      |     14.6      |   20.5   |
|    3     |     62.9      |     91.7      |   74.6   |
|    4     |     88.6      |     86.1      |   87.3   |


Avg F1@0.500: 61.3



|Edit:72.1|Acc:59.9|
