|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     96.4      |     69.0      |   80.4   |
|    1     |     50.0      |     100.0     |   66.7   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     85.2      |     100.0     |   92.0   |
|    -1    |     34.8      |     76.9      |   47.9   |
|    5     |     67.7      |     84.0      |   75.0   |
|    6     |     70.6      |     100.0     |   82.8   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.000: 79.9

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     97.6      |     65.9      |   78.6   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     85.2      |     100.0     |   92.0   |
|    -1    |     29.4      |     71.1      |   41.5   |
|    5     |     61.3      |     82.6      |   70.4   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.010: 77.4

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     97.0      |     65.4      |   78.2   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     85.2      |     100.0     |   92.0   |
|    -1    |     19.9      |     48.2      |   28.2   |
|    5     |     61.3      |     82.6      |   70.4   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.100: 76.0

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     90.4      |     61.0      |   72.8   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     85.2      |     100.0     |   92.0   |
|    -1    |     15.9      |     38.6      |   22.5   |
|    5     |     61.3      |     82.6      |   70.4   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.250: 74.9

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     68.7      |     46.3      |   55.3   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     85.2      |     100.0     |   92.0   |
|    -1    |     11.4      |     27.7      |   16.2   |
|    5     |     35.5      |     47.8      |   40.7   |
|    6     |     61.8      |     91.3      |   73.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     60.0      |     91.3      |   72.4   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.500: 68.2



|Edit:69.5|Acc:65.2|
