|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     88.9      |     57.1      |   69.6   |
|    -1    |      7.7      |     71.4      |   13.9   |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     85.7      |     81.1      |   83.3   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     70.8      |     44.7      |   54.8   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.9      |     87.2      |   89.5   |
|    12    |     88.9      |     88.9      |   88.9   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     83.3      |     85.7      |   84.5   |
|    15    |     79.4      |     32.9      |   46.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.000: 77.5

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     88.5      |     56.8      |   69.2   |
|    -1    |      6.2      |     58.0      |   11.2   |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     85.7      |     81.1      |   83.3   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     70.8      |     44.7      |   54.8   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.9      |     87.2      |   89.5   |
|    12    |     88.9      |     88.9      |   88.9   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     83.3      |     85.7      |   84.5   |
|    15    |     79.4      |     32.9      |   46.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.010: 77.4

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     86.0      |     55.2      |   67.2   |
|    -1    |      2.0      |     18.8      |   3.6    |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     85.7      |     81.1      |   83.3   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     70.8      |     44.7      |   54.8   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     91.9      |     87.2      |   89.5   |
|    12    |     83.3      |     83.3      |   83.3   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     83.3      |     85.7      |   84.5   |
|    15    |     79.4      |     32.9      |   46.6   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.100: 76.5

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     76.3      |     49.0      |   59.7   |
|    -1    |      1.1      |     10.1      |   2.0    |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     80.0      |     75.7      |   77.8   |
|    8     |     83.8      |     83.8      |   83.8   |
|    5     |     66.7      |     42.1      |   51.6   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     91.9      |     87.2      |   89.5   |
|    11    |     89.2      |     84.6      |   86.8   |
|    12    |     83.3      |     83.3      |   83.3   |
|    13    |     94.6      |     61.4      |   74.5   |
|    14    |     80.6      |     82.9      |   81.7   |
|    15    |     58.8      |     24.4      |   34.5   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.250: 74.1

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     57.0      |     36.6      |   44.5   |
|    -1    |      0.6      |      5.8      |   1.1    |
|    6     |     77.1      |     79.4      |   78.3   |
|    7     |     68.6      |     64.9      |   66.7   |
|    8     |     70.3      |     70.3      |   70.3   |
|    5     |     45.8      |     28.9      |   35.5   |
|    1     |     89.2      |     86.8      |   88.0   |
|    2     |     91.9      |     91.9      |   91.9   |
|    9     |     86.8      |     76.7      |   81.5   |
|    10    |     86.5      |     82.1      |   84.2   |
|    11    |     86.5      |     82.1      |   84.2   |
|    12    |     83.3      |     83.3      |   83.3   |
|    13    |     73.0      |     47.4      |   57.4   |
|    14    |     50.0      |     51.4      |   50.7   |
|    15    |     29.4      |     12.2      |   17.2   |
|    3     |     58.3      |     87.5      |   70.0   |
|    4     |     88.6      |     86.1      |   87.3   |


Avg F1@0.500: 64.2



|Edit:72.9|Acc:63.6|
