|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     21.1      |     78.7      |   33.3   |
|    0     |     93.0      |     39.3      |   55.3   |
|    2     |     51.3      |     100.0     |   67.8   |
|    3     |     54.3      |     100.0     |   70.4   |
|    5     |     51.6      |     76.2      |   61.5   |
|    6     |     51.6      |     80.0      |   62.7   |
|    7     |     60.0      |     58.1      |   59.0   |
|    8     |     81.0      |     100.0     |   89.5   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     60.0      |     70.0      |   64.6   |
|    1     |     47.5      |     95.0      |   63.3   |
|    9     |     82.4      |     96.6      |   88.9   |
|    12    |     60.0      |     36.0      |   45.0   |
|    10    |     100.0     |     89.7      |   94.5   |


Avg F1@0.000: 69.0

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     19.4      |     72.3      |   30.6   |
|    0     |     92.5      |     38.4      |   54.3   |
|    2     |     48.7      |     100.0     |   65.5   |
|    3     |     54.3      |     100.0     |   70.4   |
|    5     |     48.4      |     75.0      |   58.8   |
|    6     |     51.6      |     80.0      |   62.7   |
|    7     |     60.0      |     58.1      |   59.0   |
|    8     |     81.0      |     100.0     |   89.5   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     60.0      |     70.0      |   64.6   |
|    1     |     32.5      |     92.9      |   48.1   |
|    9     |     82.4      |     96.6      |   88.9   |
|    12    |     60.0      |     36.0      |   45.0   |
|    10    |     100.0     |     89.7      |   94.5   |


Avg F1@0.010: 67.4

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     12.0      |     44.7      |   18.9   |
|    0     |     89.8      |     37.3      |   52.7   |
|    2     |     48.7      |     100.0     |   65.5   |
|    3     |     54.3      |     100.0     |   70.4   |
|    5     |     48.4      |     75.0      |   58.8   |
|    6     |     51.6      |     80.0      |   62.7   |
|    7     |     60.0      |     58.1      |   59.0   |
|    8     |     78.6      |     97.1      |   86.8   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     60.0      |     70.0      |   64.6   |
|    1     |     32.5      |     92.9      |   48.1   |
|    9     |     82.4      |     96.6      |   88.9   |
|    12    |     60.0      |     36.0      |   45.0   |
|    10    |     100.0     |     89.7      |   94.5   |


Avg F1@0.100: 66.3

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      9.7      |     36.2      |   15.3   |
|    0     |     83.9      |     34.8      |   49.2   |
|    2     |     48.7      |     100.0     |   65.5   |
|    3     |     54.3      |     100.0     |   70.4   |
|    5     |     45.2      |     70.0      |   54.9   |
|    6     |     51.6      |     80.0      |   62.7   |
|    7     |     60.0      |     58.1      |   59.0   |
|    8     |     78.6      |     97.1      |   86.8   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     100.0     |  100.0   |
|    4     |     60.0      |     70.0      |   64.6   |
|    1     |     32.5      |     92.9      |   48.1   |
|    9     |     82.4      |     96.6      |   88.9   |
|    12    |     60.0      |     36.0      |   45.0   |
|    10    |     100.0     |     89.7      |   94.5   |


Avg F1@0.250: 65.6

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      4.9      |     18.4      |   7.8    |
|    0     |     61.3      |     25.4      |   36.0   |
|    2     |     48.7      |     100.0     |   65.5   |
|    3     |     54.3      |     100.0     |   70.4   |
|    5     |     41.9      |     65.0      |   51.0   |
|    6     |     48.4      |     75.0      |   58.8   |
|    7     |     60.0      |     58.1      |   59.0   |
|    8     |     73.8      |     91.2      |   81.6   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     97.8      |     97.8      |   97.8   |
|    4     |     60.0      |     70.0      |   64.6   |
|    1     |     30.0      |     85.7      |   44.4   |
|    9     |     76.5      |     89.7      |   82.5   |
|    12    |     46.7      |     28.0      |   35.0   |
|    10    |     88.5      |     79.3      |   83.6   |


Avg F1@0.500: 61.1



|Edit:61.5|Acc:58.8|
