|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     96.9      |     64.6      |   77.5   |
|    1     |     37.5      |     100.0     |   54.5   |
|    -1    |     21.2      |     83.3      |   33.8   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     79.3      |     100.0     |   88.5   |
|    5     |     57.6      |     79.2      |   66.7   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.000: 75.1

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     96.3      |     63.4      |   76.5   |
|    1     |     34.4      |     100.0     |   51.2   |
|    -1    |     19.1      |     75.9      |   30.5   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     79.3      |     100.0     |   88.5   |
|    5     |     54.5      |     78.3      |   64.3   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.010: 74.1

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     94.4      |     62.2      |   75.0   |
|    1     |     34.4      |     100.0     |   51.2   |
|    -1    |     10.0      |     39.8      |   16.0   |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     79.3      |     100.0     |   88.5   |
|    5     |     54.5      |     78.3      |   64.3   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.100: 72.5

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     88.3      |     58.1      |   70.1   |
|    1     |     34.4      |     100.0     |   51.2   |
|    -1    |      5.8      |     22.9      |   9.2    |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     79.3      |     100.0     |   88.5   |
|    5     |     54.5      |     78.3      |   64.3   |
|    6     |     64.7      |     95.7      |   77.2   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.250: 71.0

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     69.1      |     45.5      |   54.9   |
|    1     |     34.4      |     100.0     |   51.2   |
|    -1    |      2.7      |     10.8      |   4.4    |
|    2     |     82.1      |     100.0     |   90.2   |
|    3     |     79.3      |     100.0     |   88.5   |
|    5     |     30.3      |     43.5      |   35.7   |
|    6     |     64.7      |     95.7      |   77.2   |
|    7     |     69.7      |     100.0     |   82.1   |
|    8     |     60.0      |     91.3      |   72.4   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.500: 65.4



|Edit:66.3|Acc:60.4|
